No.	Artist	Title	Designer	Format
FAC 1	Various Artists	The Factory (Club No. 1)	Peter Saville	event/poster
FAC 2	Various Artists: Cabaret Voltaire, Joy Division, Durutti Column, John Dowie	A Factory Sample	Peter Saville	double single
FAC 3	Various Artists	The Factory (Club No. 2)	Peter Saville	event/poster
FAC 4	Various Artists	The Factory December (Club No. 3)	Tony Wilson	event/poster
FAC 5	A Certain Ratio	All Night Party	Peter Saville	single
FAC 6	Orchestral Manoeuvres in the Dark	Electricity	Peter Saville	single
FAC 7		Factory notepaper	Peter Saville	stationery
FAC 8	Linder Sterling	Menstrual egg timer design		concept
FAC 9	Various Artists	The Factory Flick		film/event
FACT 10	Joy Division	Unknown Pleasures	Peter Saville	album
FACT 10+4	Joy Division, Various Artists	FACT 10+4	Peter Saville	posters
FAC 11	X-o-dus	English Black Boys	Peter Saville	single
FAC 12	The Distractions	Time Goes By So Slow		single
FAC 13	Joy Division	Transmission	Peter Saville	single
FAC 13T	Joy Division, Factory Records	Transmission Factory logo	Peter Saville, Colin White	t-shirt
FACT 14	Durutti Column	The Return of the Durutti Column	Tony Wilson (sandpaper), Peter Saville (normal)	album
FACT 14	Martin Hannett	Testcard	Peter Saville	flexi-disc
FAC 15	Various Artists	Zoo Meets Factory Halfway, Leigh Festival	Peter Saville	poster
FACT 16	A Certain Ratio	The Graveyard And The Ballroom		cassette album
FAC 17	Crawling Chaos	Sex Machine	Sage	single
FAC 18	Section 25	Girls Don't Count	Ben Kelly, Peter Saville, Section 25	single
FAC 19	John Dowie	Hard To Be An Egg		single
FAC 20	A Certain Ratio	Too Young To Know Too Wild To Care		film treatment
FAC 21		"Fractured Music ""F"" Logo"	Peter Saville	logo/badge
FAC 22	A Certain Ratio	Flight	Peter Saville	single
FAC 23	Joy Division	Love Will Tear Us Apart	Peter Saville	single
FACT 24	Various Artists: Durutti Column, Blurt, Kevin Hewick, The Royal Family And The Poor [1]	A Factory Quartet	Peter Saville	album
FACT 25	Joy Division	Closer	Peter Saville	album
FACT 26	Durutti Column	Durutti in Paris	Stephen Horsfall	poster/event, cancelled
