name,city,iata,latitude,longitude
Goroka,Goroka,GKA,-6.081689,145.391881
Madang,Madang,MAG,-5.207083,145.7887
Mount Hagen,Mount Hagen,HGU,-5.826789,144.295861
Nadzab,Nadzab,LAE,-6.569828,146.726242
Port Moresby Jacksons Intl,Port Moresby,POM,-9.443383,147.22005
Wewak Intl,Wewak,WWK,-3.583828,143.669186
Narsarsuaq,Narssarssuaq,UAK,61.160517,-45.425978
Nuuk,Godthaab,GOH,64.190922,-51.678064
Sondre Stromfjord,Sondrestrom,SFJ,67.016969,-50.689325
Thule Air Base,Thule,THU,76.531203,-68.703161
Akureyri,Akureyri,AEY,65.659994,-18.072703
Egilsstadir,Egilsstadir,EGS,65.283333,-14.401389
Hornafjordur,Hofn,HFN,64.295556,-15.227222
Husavik,Husavik,HZK,65.952328,-17.425978
Isafjordur,Isafjordur,IFJ,66.058056,-23.135278
Keflavik International Airport,Keflavik,KEF,63.985,-22.605556
Patreksfjordur,Patreksfjordur,PFJ,65.555833,-23.965
Reykjavik,Reykjavik,RKV,64.13,-21.940556
Siglufjordur,Siglufjordur,SIJ,66.133333,-18.916667
Vestmannaeyjar,Vestmannaeyjar,VEY,63.424303,-20.278875
Sault Ste Marie,Sault Sainte Marie,YAM,46.485001,-84.509445
Winnipeg St Andrews,Winnipeg,YAV,50.056389,-97.0325
Shearwater,Halifax,YAW,44.639721,-63.499444
St Anthony,St. Anthony,YAY,51.391944,-56.083056
Tofino,Tofino,YAZ,49.082222,-125.7725
Kugaaruk,Pelly Bay,YBB,68.534444,-89.808056
Baie Comeau,Baie Comeau,YBC,49.1325,-68.204444
Bagotville,Bagotville,YBG,48.330555,-70.996391
Baker Lake,Baker Lake,YBK,64.298889,-96.077778
Campbell River,Campbell River,YBL,49.950832,-125.270833
Brandon Muni,Brandon,YBR,49.91,-99.951944
Cambridge Bay,Cambridge Bay,YCB,69.108055,-105.138333
Nanaimo,Nanaimo,YCD,49.052333,-123.870167
Castlegar,Castlegar,YCG,49.296389,-117.6325
Miramichi,Chatham,YCH,47.007778,-65.449167
Charlo,Charlo,YCL,47.990833,-66.330278
Kugluktuk,Coppermine,YCO,67.816667,-115.143889
Coronation,Coronation,YCT,52.075001,-111.445278
Chilliwack,Chilliwack,YCW,49.152779,-121.93889
Clyde River,Clyde River,YCY,70.486111,-68.516667
Fairmont Hot Springs,Coral Harbour,YZS,64.193333,-83.359444
Dawson City,Dawson,YDA,64.043056,-139.127778
Burwash,Burwash,YDB,61.371111,-139.040556
Princeton,Princeton,YDC,49.468056,-120.511389
Deer Lake,Deer Lake,YDF,49.210833,-57.391388
Dease Lake,Dease Lake,YDL,58.422222,-130.032222
Dauphin Barker,Dauphin,YDN,51.100834,-100.0525
Dawson Creek,Dawson Creek,YDQ,55.742333,-120.183
Edmonton Intl,Edmonton,YEG,53.309723,-113.579722
Arviat,Eskimo Point,YEK,61.094166,-94.070833
Estevan,Estevan,YEN,49.210278,-102.965833
Edson,Edson,YET,53.578888,-116.465
Eureka,Eureka,YEU,79.994722,-85.814167
Inuvik Mike Zubko,Inuvik,YEV,68.304167,-133.482778
Iqaluit,Iqaluit,YFB,63.75639,-68.555832
Fredericton,Fredericton,YFC,45.868889,-66.537222
Forestville,Forestville,,48.746111,-69.097222
Flin Flon,Flin Flon,YFO,54.678055,-101.681667
Fort Resolution,Fort Resolution,YFR,61.180832,-113.689722
Fort Simpson,Fort Simpson,YFS,61.760153,-121.236525
Kingston,Kingston,YGK,44.225277,-76.596944
La Grande Riviere,La Grande Riviere,YGL,53.625278,-77.704167
Gaspe,Gaspe,YGP,48.775278,-64.478611
Geraldton Greenstone Regional,Geraldton,YGQ,49.778332,-86.939445
Iles De La Madeleine,Iles De La Madeleine,YGR,47.424721,-61.778056
Hudson Bay,Hudson Bay,YHB,52.816666,-102.31139
Dryden Rgnl,Dryden,YHD,49.831667,-92.744167
Ulukhaktok Holman,Holman Island,YHI,70.762778,-117.806111
Gjoa Haven,Gjoa Haven,YHK,68.635556,-95.849722
Hamilton,Hamilton,YHM,43.173611,-79.935
St Hubert,Montreal,YHU,45.5175,-73.416944
Hay River,Hay River,YHY,60.839722,-115.782778
Halifax Intl,Halifax,YHZ,44.880833,-63.50861
Atikokan Muni,Atikokan,YIB,48.773888,-91.638611
Pond Inlet,Pond Inlet,YIO,72.683334,-77.966667
St Jean,St. Jean,YJN,45.294445,-73.281111
Stephenville,Stephenville,YJT,48.544167,-58.549999
Kamloops,Kamloops,YKA,50.702222,-120.444444
Waterloo,Waterloo,YKF,43.460833,-80.378611
Schefferville,Schefferville,YKL,54.805278,-66.805278
Kindersley,Kindersley,YKY,51.5175,-109.180833
Buttonville Muni,Toronto,YKZ,43.862221,-79.37
Chapleau,Chapleau,YLD,47.82,-83.346667
Meadow Lake,Meadow Lake,YLJ,54.125278,-108.522778
Lloydminster,Lloydminster,YLL,53.309166,-110.0725
Alert,Alert,YLT,82.517778,-62.280556
Kelowna,Kelowna,YLW,49.956112,-119.377778
Mayo,Mayo,YMA,63.616389,-135.868333
Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,YMJ,50.330278,-105.559167
Fort Mcmurray,Fort Mcmurray,YMM,56.653333,-111.221944
Moosonee,Moosonee,YMO,51.291111,-80.607778
Maniwaki,Maniwaki,YMW,46.272778,-75.990556
Montreal Intl Mirabel,Montreal,YMX,45.681944,-74.005278
Natashquan,Natashquan,YNA,50.19,-61.789167
Gatineau,Gatineau,YND,45.521694,-75.563589
Matagami,Matagami,YNM,49.761667,-77.802778
Old Crow,Old Crow,YOC,67.570556,-139.839167
Cold Lake,Cold Lake,YOD,54.404999,-110.279444
High Level,High Level,YOJ,58.621389,-117.164722
Ottawa Macdonald Cartier Intl,Ottawa,YOW,45.3225,-75.669167
Prince Albert Glass Field,Prince Albert,YPA,53.214167,-105.672778
Peace River,Peace River,YPE,56.226944,-117.447222
Southport,Portage-la-prairie,YPG,49.903056,-98.273889
Pitt Meadows,Pitt Meadows,,49.21611,-122.71
Pickle Lake,Pickle Lake,YPL,51.446388,-90.214167
Port Menier,Port Menier,YPN,49.836389,-64.288611
Peterborough,Peterborough,YPQ,44.23,-78.363333
Prince Rupert,Prince Pupert,YPR,54.28611,-130.444722
Fort Chipewyan,Fort Chipewyan,YPY,58.767223,-111.117222
Muskoka,Muskoka,YQA,44.974722,-79.303333
Quebec Jean Lesage Intl,Quebec,YQB,46.791111,-71.393333
Red Deer Regional,Red Deer Industrial,YQF,52.182222,-113.894444
Windsor,Windsor,YQG,42.275556,-82.955556
Watson Lake,Watson Lake,YQH,60.116389,-128.8225
Kenora,Kenora,YQK,49.788334,-94.363056
Lethbridge,Lethbridge,YQL,49.630278,-112.799722
Greater Moncton Intl,Moncton,YQM,46.112221,-64.678611
Comox,Comox,YQQ,49.710833,-124.886667
Regina Intl,Regina,YQR,50.431944,-104.665833
Thunder Bay,Thunder Bay,YQT,48.371944,-89.323889
Grande Prairie,Grande Prairie,YQU,55.179722,-118.885
Yorkton Muni,Yorkton,YQV,51.264721,-102.461667
North Battleford,North Battleford,YQW,52.769167,-108.24361
Gander Intl,Gander,YQX,48.936944,-54.568056
Sydney,Sydney,YQY,46.161388,-60.047779
Quesnel,Quesnel,YQZ,53.026112,-122.510278
Resolute Bay,Resolute,YRB,74.716944,-94.969444
Riviere Du Loup,Riviere Du Loup,YRI,47.764444,-69.584722
Roberval,Roberval,YRJ,48.52,-72.265556
Rocky Mountain House,Rocky Mountain House,YRM,52.429722,-114.904167
Rankin Inlet,Rankin Inlet,YRT,62.81139,-92.115833
Sudbury,Sudbury,YSB,46.625,-80.798889
Sherbrooke,Sherbrooke,YSC,45.438611,-71.691389
Saint John,St. John,YSJ,45.316111,-65.890278
Fort Smith,Fort Smith,YSM,60.020278,-111.961944
Nanisivik,Nanisivik,YSR,72.982222,-84.613611
Summerside,Summerside,YSU,46.440556,-63.833611
Sachs Harbour,Sachs Harbour,YSY,71.993889,-125.2425
Cape Dorset,Cape Dorset,YTE,64.23,-76.526667
Thompson,Thompson,YTH,55.801111,-97.864166
Trenton,Trenton,YTR,44.118889,-77.528056
Timmins,Timmins,YTS,48.569721,-81.376667
City Centre,Toronto,YTZ,43.627499,-79.396167
Tuktoyaktuk,Tuktoyaktuk,YUB,69.433334,-133.026389
Pierre Elliott Trudeau Intl,Montreal,YUL,45.470556,-73.740833
Repulse Bay,Repulse Bay,YUT,66.521389,-86.224722
Hall Beach,Hall Beach,YUX,68.776111,-81.243611
Rouyn Noranda,Rouyn,YUY,48.206111,-78.835556
La Ronge,La Ronge,YVC,55.15139,-105.261944
Vermilion,Vermillion,YVG,53.355833,-110.82389
Qikiqtarjuaq,Broughton Island,YVM,67.545833,-64.031389
Val D Or,Val D'or,YVO,48.053333,-77.782778
Kuujjuaq,Quujjuaq,YVP,58.096111,-68.426944
Norman Wells,Norman Wells,YVQ,65.281617,-126.798219
Vancouver Intl,Vancouver,YVR,49.193889,-123.184444
Buffalo Narrows,Buffalo Narrows,YVT,55.841944,-108.4175
Wiarton,Wiarton,YVV,44.745834,-81.107222
Petawawa,Petawawa,YWA,45.952221,-77.319168
Winnipeg Intl,Winnipeg,YWG,49.910036,-97.239886
Wabush,Wabush,YWK,52.921944,-66.864444
Williams Lake,Williams Lake,YWL,52.183056,-122.054167
Wrigley,Wrigley,YWY,63.209444,-123.436667
Canadian Rockies Intl,Cranbrook,YXC,49.612222,-115.781944
Edmonton City Centre,Edmonton,YXD,53.5725,-113.520556
Saskatoon J G Diefenbaker Intl,Saskatoon,YXE,52.170834,-106.699722
Medicine Hat,Medicine Hat,YXH,50.01889,-110.720833
Fort St John,Fort Saint John,YXJ,56.238056,-120.740278
Sioux Lookout,Sioux Lookout,YXL,50.113889,-91.905278
Pangnirtung,Pangnirtung,YXP,66.145,-65.713611
Timiskaming Rgnl,Earlton,YXR,47.695,-79.848889
Prince George,Prince George,YXS,53.889444,-122.678889
Terrace,Terrace,YXT,54.468508,-128.576219
London,London,YXU,43.033056,-81.151111
Abbotsford,Abbotsford,YXX,49.025278,-122.360556
Whitehorse Intl,Whitehorse,YXY,60.709553,-135.067269
North Bay,North Bay,YYB,46.363611,-79.422778
Calgary Intl,Calgary,YYC,51.113888,-114.020278
Smithers,Smithers,YYD,54.824722,-127.182778
Fort Nelson,Fort Nelson,YYE,58.836389,-122.596944
Penticton,Penticton,YYF,49.463056,-119.602222
Charlottetown,Charlottetown,YYG,46.290001,-63.121111
Taloyoak,Spence Bay,YYH,69.546667,-93.576667
Victoria Intl,Victoria,YYJ,48.646944,-123.425833
Lynn Lake,Lynn Lake,YYL,56.863888,-101.07611
Swift Current,Swift Current,YYN,50.291944,-107.690556
Churchill,Churchill,YYQ,58.739167,-94.065
Goose Bay,Goose Bay,YYR,53.319168,-60.425833
St Johns Intl,St. John's,YYT,47.61861,-52.751945
Kapuskasing,Kapuskasing,YYU,49.413889,-82.4675
Armstrong,Armstrong,YYW,50.290279,-88.909721
Mont Joli,Mont Joli,YYY,48.608612,-68.208056
Lester B Pearson Intl,Toronto,YYZ,43.677223,-79.630556
Downsview,Toronto,YZD,43.7425,-79.465556
Gore Bay Manitoulin,Gore Bay,YZE,45.885277,-82.567778
Yellowknife,Yellowknife,YZF,62.462778,-114.440278
Slave Lake,Slave Lake,YZH,55.293056,-114.777222
Sandspit,Sandspit,YZP,53.254333,-131.813833
Chris Hadfield,Sarnia,YZR,42.999444,-82.308889
Port Hardy,Port Hardy,YZT,50.680556,-127.366667
Whitecourt,Whitecourt,YZU,54.14389,-115.786667
Sept Iles,Sept-iles,YZV,50.223333,-66.265556
Teslin,Teslin,YZW,60.172779,-132.742778
Greenwood,Greenwood,YZX,44.984444,-64.916944
Faro,Faro,ZFA,62.2075,-133.375833
Fort Mcpherson,Fort Mcpherson,ZFM,67.4075,-134.860556
Blida,Blida,,36.503613,2.814167
Bou Saada,Bou Saada,,35.3325,4.206389
Soummam,Bejaja,BJA,36.711997,5.069922
Houari Boumediene,Algier,ALG,36.691014,3.215408
Tiska,Djanet,DJG,24.292767,9.452444
Boufarik,Boufarik,QFD,36.545834,2.876111
Reggane,Reggan,,26.710103,0.285647
Illizi Takhamalt,Illizi,VVZ,26.723536,8.622653
Ain Oussera,Ain Oussera,,35.525414,2.878714
Tamanrasset,Tamanrasset,TMR,22.811461,5.451075
Jijel,Jijel,GJL,36.795136,5.873608
Mecheria,Mecheria,,33.535853,-0.242353
Relizane,Relizane,,35.752239,0.626272
Annaba,Annaba,AAE,36.822225,7.809167
Mohamed Boudiaf Intl,Constantine,CZL,36.276028,6.620386
Cheikh Larbi Tebessi,Tebessa,TEE,35.431611,8.120717
Hassi R Mel,Tilrempt,HRM,32.930431,3.311542
Bou Chekif,Tiaret,TID,35.341136,1.463147
Bou Sfer,Bou Sfer,,35.735389,-0.805389
Tindouf,Tindouf,TIN,27.700372,-8.167103
Ech Cheliff,Ech-cheliff,QAS,36.212658,1.331775
Tafaraoui,Oran,TAF,35.542444,-0.532278
Zenata,Tlemcen,TLM,35.016667,-1.45
Es Senia,Oran,ORN,35.623858,-0.621183
Sidi Bel Abbes,Sidi Bel Abbes,,35.171775,-0.593275
Ghriss,Ghriss,MUW,35.207725,0.147142
Touat Cheikh Sidi Mohamed Belkebir,Adrar,AZR,27.837589,-0.186414
Biskra,Biskra,BSK,34.793289,5.738231
El Golea,El Golea,ELG,30.571294,2.859586
Noumerat,Ghardaia,GHA,32.384106,3.794114
Oued Irara,Hassi Messaoud,HME,31.672972,6.140444
In Salah,In Salah,INZ,27.251022,2.512017
Sidi Mahdi,Touggourt,TGR,33.067803,6.088672
Laghouat,Laghouat,LOO,33.764383,2.928344
Timimoun,Timimoun,TMX,29.237119,0.276033
Ouargla,Ouargla,OGX,31.917223,5.412778
In Amenas,Zarzaitine,IAM,28.05155,9.642911
Cadjehoun,Cotonou,COO,6.357228,2.384353
Ouagadougou,Ouagadougou,OUA,12.353194,-1.512417
Bobo Dioulasso,Bobo-dioulasso,BOY,11.160056,-4.330969
Kotoka Intl,Accra,ACC,5.605186,-0.166786
Tamale,Tamale,TML,9.557192,-0.863214
Wa,Wa,,10.082664,-2.507694
Sunyani,Sunyani,NYI,7.361828,-2.328756
Takoradi,Takoradi,TKD,4.896056,-1.774756
Abidjan Felix Houphouet Boigny Intl,Abidjan,ABJ,5.261386,-3.926294
Bouake,Bouake,BYK,7.7388,-5.073667
Daloa,Daloa,DJO,6.792808,-6.473189
Korhogo,Korhogo,HGO,9.387183,-5.556664
Man,Man,MJC,7.272069,-7.587364
San Pedro,San Pedro,SPY,4.746717,-6.660817
Yamoussoukro,Yamoussoukro,ASK,6.903167,-5.365581
Nnamdi Azikiwe Intl,Abuja,ABV,9.006792,7.263172
Akure,Akure,AKR,7.246739,5.301008
Benin,Benin,BNI,6.316981,5.599503
Calabar,Calabar,CBQ,4.976019,8.347197
Enugu,Enugu,ENU,6.474272,7.561961
Gusau,Gusau,QUS,12.171667,6.696111
Ibadan,Ibadan,IBA,7.362458,3.978333
Ilorin,Ilorin,ILR,8.440211,4.493919
Yakubu Gowon,Jos,JOS,9.639828,8.86905
Kaduna,Kaduna,KAD,10.696025,7.320114
Mallam Aminu Intl,Kano,KAN,12.047589,8.524622
Maiduguri,Maiduguri,MIU,11.855347,13.08095
Makurdi,Makurdi,MDI,7.703883,8.613939
Murtala Muhammed,Lagos,LOS,6.577369,3.321156
Minna New,Minna,MXJ,9.652172,6.462256
Port Harcourt Intl,Port Hartcourt,PHC,5.015494,6.949594
Sadiq Abubakar Iii Intl,Sokoto,SKO,12.916322,5.207189
Yola,Yola,YOL,9.257553,12.430422
Zaria,Zaria,ZAR,11.130192,7.685806
Maradi,Maradi,MFQ,13.502531,7.126753
Diori Hamani,Niamey,NIM,13.481547,2.183614
Tahoua,Tahoua,THZ,14.875658,5.265358
Manu Dayak,Agadez,AJY,16.965997,8.000114
Dirkou,Dirkou,,18.968703,12.86865
Diffa,Diffa,,13.372894,12.626686
Zinder,Zinder,ZND,13.778997,8.983761
Habib Bourguiba Intl,Monastir,MIR,35.758056,10.754722
Carthage,Tunis,TUN,36.851033,10.227217
Sidi Ahmed Air Base,Bizerte,,37.245447,9.791453
Remada,Remada,,32.306156,10.382108
Gafsa,Gafsa,GAF,34.422022,8.822503
Gabes,Gabes,GAE,33.876919,10.103333
Borj El Amri,Bordj El Amri,,36.721339,9.943147
Zarzis,Djerba,DJE,33.875031,10.775461
El Borma,El Borma,EBM,31.704281,9.254619
Thyna,Sfax,SFA,34.717953,10.690972
Nefta,Tozeur,TOE,33.939722,8.110556
Niamtougou International,Niatougou,LRL,9.767333,1.09125
Gnassingbe Eyadema Intl,Lome,LFW,6.165611,1.254511
Deurne,Antwerp,ANR,51.189444,4.460278
Beauvechain,Beauvechain,,50.75861,4.768333
Kleine Brogel,Kleine Brogel,,51.168333,5.47
Brussels Natl,Brussels,BRU,50.901389,4.484444
Bertrix,Bertrix,,49.891667,5.223889
Brussels South,Charleroi,CRL,50.459197,4.453817
Chievres Ab,Chievres,,50.575833,3.831
