origin,destination,count
AAL,CPH,1
AAR,CPH,1
ABZ,BGO,1
ABZ,CPH,1
ABZ,SVG,1
ADD,CAI,1
ADD,JRO,1
ADD,KRT,1
ADD,NBO,1
ADD,SEZ,1
AES,BGO,1
AES,CPH,1
AES,OSL,1
AES,TRD,1
AGH,ARN,1
AGP,ARN,1
AGP,BGO,1
AGP,CPH,1
AGP,GOT,1
AGP,OSL,1
AGP,SVG,1
AJR,LYC,1
ALC,ARN,1
ALC,BGO,1
ALC,KRS,1
ALC,OSL,1
ALC,SVG,1
ALC,TRD,1
ALF,OSL,1
ALF,TOS,1
AMS,ARN,1
AMS,CPH,1
AMS,OSL,1
ARN,AGH,1
ARN,AGP,1
ARN,ALC,1
ARN,AMS,1
ARN,ATH,1
ARN,BCN,1
ARN,BGO,1
ARN,BLQ,1
ARN,BRU,1
ARN,CAI,1
ARN,CDG,1
ARN,CPH,1
ARN,DBV,1
ARN,DUB,1
ARN,DUS,1
ARN,EDI,1
ARN,EWR,1
ARN,FCO,1
ARN,FRA,1
ARN,GOT,1
ARN,GVA,1
ARN,HAM,1
ARN,HEL,1
ARN,KLR,1
ARN,KOK,1
ARN,KRN,1
ARN,LED,1
ARN,LHR,1
ARN,LIN,1
ARN,LLA,1
ARN,LYC,1
ARN,MAN,1
ARN,MLA,1
ARN,MMX,1
ARN,MUC,1
ARN,MXP,1
ARN,NCE,1
ARN,ORD,1
ARN,OSD,1
ARN,OSL,1
ARN,OUL,1
ARN,PEK,1
ARN,PMI,1
ARN,POR,1
ARN,PRG,1
ARN,RIX,1
ARN,RNB,1
ARN,SDL,1
ARN,SFT,1
ARN,SVO,1
ARN,TKU,1
ARN,TLL,1
ARN,TMP,1
ARN,TRD,1
ARN,TXL,1
ARN,UME,1
ARN,VAA,1
ARN,VCE,1
ARN,VHM,1
ARN,VIE,1
ARN,ZRH,1
ATH,ARN,1
ATH,CPH,1
BCN,ARN,1
BCN,CPH,1
BCN,FRA,1
BCN,OSL,1
BGO,ABZ,1
BGO,AES,1
BGO,AGP,1
BGO,ALC,1
BGO,ARN,1
BGO,CPH,1
BGO,FRA,1
BGO,MAN,1
BGO,OSL,1
BGO,SVG,1
BGO,TRD,1
BGO,TRF,1
BHX,CPH,1
BIO,FRA,1
BKK,CPH,1
BKK,HKT,1
BKK,SIN,1
BLL,CPH,1
BLL,FRA,1
BLL,OSL,1
BLQ,ARN,1
BLQ,CPH,1
BOO,OSL,1
BOO,TOS,1
BOO,TRD,1
BRE,CPH,1
BRU,ARN,1
BRU,CAI,1
BRU,CPH,1
BRU,OSL,1
CAI,ADD,1
CAI,ARN,1
CAI,CPH,1
CDG,ARN,1
CDG,CPH,1
CDG,OSL,1
CDG,SVG,1
CPH,AAL,1
CPH,AAR,1
CPH,ABZ,1
CPH,AES,1
CPH,AGP,1
CPH,AMS,1
CPH,ARN,1
CPH,ATH,1
CPH,BCN,1
CPH,BGO,1
CPH,BHX,1
CPH,BKK,1
CPH,BLL,1
CPH,BLQ,1
CPH,BRE,1
CPH,BRU,1
CPH,CAI,1
CPH,CDG,1
CPH,DUB,1
CPH,DUS,1
CPH,EDI,1
CPH,EWR,1
CPH,FCO,1
CPH,FRA,1
CPH,GDN,1
CPH,GLA,1
CPH,GOT,1
CPH,GVA,1
CPH,HAJ,1
CPH,HAM,1
CPH,HAU,1
CPH,HEL,1
CPH,IAD,1
CPH,KGD,1
CPH,KRS,1
CPH,KTW,1
CPH,LED,1
CPH,LHR,1
CPH,LIN,1
CPH,LJU,1
CPH,LPI,1
CPH,LPP,1
CPH,LUX,1
CPH,LYS,1
CPH,MAD,1
CPH,MAN,1
CPH,MUC,1
CPH,MXP,1
CPH,NCE,1
CPH,NRK,1
CPH,NRT,1
CPH,ORD,1
CPH,OSL,1
CPH,OTP,1
CPH,OUL,1
CPH,PEK,1
CPH,PLQ,1
CPH,PMI,1
CPH,POZ,1
CPH,PRN,1
CPH,PVG,1
CPH,RIX,1
CPH,SIN,1
CPH,SPU,1
CPH,STR,1
CPH,SVG,1
CPH,SVO,1
CPH,TKU,1
CPH,TLL,1
CPH,TLV,1
CPH,TMP,1
CPH,TRD,1
CPH,TRF,1
CPH,TXL,1
CPH,VAA,1
CPH,VCE,1
CPH,VIE,1
