month,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1
1,-9.2,-16.5,-8.9,-4.7,-6.7,-6.8,-4.2,-7.8,-14.4,-9,-8.7,-7.9
2,-4.4,-6.1,-8.8,-7.5,-11.7,-13.3,-4,-8.8,-12.1,-15.2,-11.3,-5.3
3,-4.1,-1.4,-4.1,-7.5,-9.7,0.2,-4.6,-4.2,-7,-3.8,-2.3,-9.1
4,3.7,0.6,3,2.2,3.3,1.5,1.9,0.7,2.3,2.6,0.4,0.8
5,9.2,8.5,7.9,7.1,9.2,7.9,7.3,9.3,11,8.3,7.5,11.6
6,15.7,13.1,12.2,14.6,14,13.4,12.5,13.2,12.6,15.9,12.2,16.6
7,18.3,19.9,17,18.2,16.3,16.1,15,15.8,18.8,18.6,16.4,15.9
8,16.7,14.4,14.4,15.8,17.8,15.5,12.8,15.5,13.8,14.9,14.1,15.5
9,8,9.4,10.5,10.9,10.2,8.2,7.6,11.2,9.4,11.1,9.2,11.2
10,-0.7,2.5,3,5.2,2.1,5.4,5.1,0.6,3.9,5.3,3.1,4
11,-7.2,-0.7,-2.4,2,-2.6,-2.6,-0.9,0.7,-5.6,1.8,0.3,0.1
12,-12.1,-5.3,-3.7,-7.5,-0.3,-0.8,-1.3,-8.4,-13,-0.2,-12.1,-1.9
12,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1,-12.1
